[-0.79915902  0.15041874]
[-1.3309294  -0.85923318]
[-1.53303962 -0.02345048]
[-1.63787629 -0.6990134 ]
[-1.44925769  0.76338933]
[-0.93404603  1.40469684]
[-1.5299949   0.34331976]
[-1.4240621  -0.64615938]
[-1.39963586  1.29940809]
[-1.4603943   0.19630284]
[-0.96549356 -0.19315678]
[-1.79248065 -0.70331539]
[-1.64796238 -0.36313271]
[-1.80825003  0.09345685]
[-1.55979304  0.51101611]
[-1.51901312 -0.76842154]
[-1.50420313  1.20738946]
[-1.19716637  0.12030664]
[-1.52366456  0.58097125]
[-1.41999533  1.11239531]
[-1.54741533  4.09586699]
[-1.4313695   0.57758853]
[-1.61219047  0.41880136]
[-1.45777256  0.55489208]
[-0.8666911  -0.98350521]
[-1.39911056 -1.17438963]
[-0.69546004 -0.736242  ]
[-0.80717762 -1.17652286]
[-1.19237034 -0.54961812]
[-1.86431386 -0.39861825]
[-0.86028651  1.1937778 ]
[-0.90050036  0.88708462]
[-1.01092695  1.0233843 ]
[-0.7552104  -0.87224877]
[-0.63860581  1.1917259 ]
[-1.13411292  0.22856091]
[-1.25204973  2.52334322]
[-1.31753033 -0.43247357]
[-1.625138  -0.6520402]
[-1.37011406 -0.76633198]
[-1.37154326 -0.54499154]
[-1.47082741 -1.2496421 ]
[-1.56970415  0.30791906]
[-1.4904701  -0.44938349]
[-1.68411889  0.71660629]
[-1.45101788 -0.2966691 ]
[-1.13513366 -0.15302703]
[-1.25258796 -1.25645946]
[-0.70193271 -0.74869978]
[-1.53019546 -0.06618337]
[-1.14576099 -0.78978341]
[-1.05073261  0.79487841]
[-1.65637062  1.41934828]
[-1.17365238 -0.38714243]
[-0.79500887 -1.01825066]
[-1.46921795  3.53145498]
[-1.63277745 -1.08724676]
[-1.83780765 -0.41710004]
[-1.33699942 -0.96551995]
[-1.41757192  1.79514254]
[-1.79463812 -0.3917055 ]
[-1.16187776 -1.42590842]
[-1.18148311  3.45286012]
[-0.96552797  0.10364265]
[-1.5878567  -0.47894855]
[-1.50998576 -0.72196347]
[-1.1241581   0.58769297]
[-1.31699438  1.30677618]
[-1.25227593  0.62645037]
[-1.16276404 -0.83410698]
[-1.72158917 -2.18803137]
[-1.57657556 -0.90968935]
[-1.43732075  0.12585922]
[-0.96088363 -1.02223734]
[-1.17920004  0.72331728]
[-1.8045741  -0.44929215]
